_taamm_,2020-02-29 00:30:17,b'This is \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 #RateBlack'
_taamm_,2020-02-29 00:29:27,b'Madddd!!! Ignore Tweets #RateBlack'
CytlaYT,2020-02-28 23:53:49,b'Please ignore my next set of tweets\n#RateBlack'
